,boxPlot,darkmoon,dps,fightLength,igniteDps,igniteDrops,nightfall,numMages,numPIs,numWB,percentDpsIncrease,percentIgniteDpsIncrease,rotation,semiWB,stdDev,weightedTicks,totalCrit
34,"Boxplot values: 4300, 4980, 5171, 5179, 5361, 6616",,5179.0,60,1060.0,"Ignite Drop times on avg List(28.358483509834997, 39.73905819157496, 48.76704998244379, 55.529872216051466, 58.87797241081662, 59.841476406715856, 59.998711392697366, 60.00039942232572)",,5,2,1,1.0058263740532143,0.9953051643192488,4,0,284.8146996844239,21.16428195199996,0.14212810590187014
35,"Boxplot values: 4187, 4896, 5085, 5102, 5288, 6392",,5102.0,60,1060.0,"Ignite Drop times on avg List(27.95848787908918, 39.40515969322883, 48.33988385805767, 55.16375087842412, 58.702639601419285, 59.81597748016211, 59.99233753037794, 60.00315598365003)",,5,2,1,0.9908720139832976,0.9953051643192488,2,0,288.017381490724,21.02649713999999,0.14212810590187014
36,"Boxplot values: 4422, 5267, 5442, 5443, 5613, 6706",,5443.0,80,1217.0,"Ignite Drop times on avg List(31.631005132956982, 43.25039017048582, 54.34224734548667, 64.7801783172021, 72.88841920938992, 77.63116406416955, 79.45074975468775, 79.92796665962436, 79.99406217931269, 79.99943170504834)",,5,3,2,1.0018406037180194,0.9643423137876388,4,3,261.49579711568225,32.51483039200007,0.07037529306444006
37,"Boxplot values: 4488, 5310, 5495, 5529, 5710, 6593",,5529.0,80,1457.0,"Ignite Drop times on avg List(37.41901851894741, 53.24874127866011, 64.61426590195303, 72.40356428066985, 76.81660489956468, 78.90975119170204, 79.71870271869811, 79.95235862484759, 79.99715359802885, 80.00073056992159)",,5,3,2,1.0176697956929872,1.1545166402535658,7,3,324.01363949824844,39.65396626399996,0.07037529306444006
38,"Boxplot values: 4478, 5224, 5395, 5411, 5585, 6727",,5411.0,80,1262.0,"Ignite Drop times on avg List(31.946675534886598, 44.23230158635339, 55.563340275673546, 65.53524568026221, 73.09018516130632, 77.51199589188856, 79.36830887207019, 79.89533514062676, 79.99143793190073, 79.99941779715621, 80.00016037611957)",,5,3,2,0.9959506718203572,1.0,2,3,275.0431482090888,33.46355271600017,0.07037529306444006
39,"Boxplot values: 4394, 5125, 5317, 5328, 5522, 6716",,5328.0,80,1102.0,"Ignite Drop times on avg List(28.144078417325783, 41.095156191051295, 52.61990287473047, 63.21314089642247, 71.49654441295692, 76.61660114522086, 79.05947346587142, 79.82578746919694, 79.97708483138092, 79.9981285654018, 79.99973480604044, 80.00033480604044)",,5,3,2,0.9806736609607952,0.8732171156893821,0,3,287.6669041022953,32.94774155199994,0.07037529306444006
40,"Boxplot values: 4570, 5282, 5465, 5487, 5663, 6637",,5487.0,80,1356.0,"Ignite Drop times on avg List(34.33020328652923, 48.277346879859046, 59.999244628335305, 69.14968328364009, 75.1808021561207, 78.30239424637703, 79.55777920845549, 79.9376618273, 79.99452682471109, 79.99840060081866, 79.99986809069382, 80.00041732348538)",,5,3,2,1.0099392600773054,1.0744849445324882,6,3,302.1782877385024,36.45037374000004,0.07037529306444006
41,"Boxplot values: 4462, 5260, 5436, 5449, 5624, 6826",,5449.0,80,1277.0,"Ignite Drop times on avg List(30.94576114726588, 44.49042312351818, 56.21242957716782, 66.28242427261996, 73.57379491504618, 77.72760843236888, 79.41606308100441, 79.90246005789433, 79.98961237145366, 80.0001030431821, 79.99939642922621)",,5,3,2,1.0029449659488312,1.0118858954041206,5,3,276.7961855350181,33.86015146799987,0.07037529306444006
42,"Boxplot values: 4414, 5128, 5336, 5340, 5540, 6494",,5340.0,80,1151.0,"Ignite Drop times on avg List(29.010913804017083, 41.77507167805176, 53.23816818744331, 63.75844229415674, 71.90981861264532, 76.98329612968676, 79.19319806575257, 79.87737303410927, 79.9904414925925, 80.00129976999813)",,5,3,2,0.9828823854224186,0.9120443740095088,3,3,293.1031274072526,32.909495995199926,0.07037529306444006
43,"Boxplot values: 4256, 5039, 5247, 5254, 5446, 6952",,5254.0,80,1160.0,"Ignite Drop times on avg List(28.53533587427407, 41.486807250759725, 52.87430536813984, 63.51958707535629, 71.72039540958745, 76.87277427296125, 79.14826784924811, 79.8476717500576, 79.98536313944862, 80.0000937496101)",,5,3,2,0.9670531934474508,0.919175911251981,8,3,297.6931297677944,32.57119595840007,0.07037529306444006
44,"Boxplot values: 4521, 5241, 5422, 5433, 5608, 6817",,5433.0,80,1262.0,"Ignite Drop times on avg List(32.045201470260764, 44.400258941467186, 55.65899078991548, 65.81723338132977, 73.27811477133187, 77.58659892380379, 79.40886715332977, 79.90274664547235, 79.99320460694732, 80.00030027930904, 79.99985717420314, 80.00012725989299)",,5,3,2,1.0,1.0,1,3,275.6938920737874,33.4812253600001,0.07037529306444006
45,"Boxplot values: 4680, 5299, 5465, 5494, 5654, 6615",,5494.0,100,1454.0,"Ignite Drop times on avg List(37.044760506868755, 54.83213164427483, 69.68790237365855, 81.40416604460131, 89.91180699907736, 95.17084244938683, 97.97417762673406, 99.27758679935644, 99.79726547511632, 99.95035063589786, 99.99196482173261, 99.99906634221172, 100.00038924529429)",,5,4,4,1.0144017725258494,1.1530531324345756,7,0,290.4462519635805,50.00073803999995,0.06202957236670404
46,"Boxplot values: 4661, 5246, 5410, 5420, 5582, 6657",,5420.0,100,1265.0,"Ignite Drop times on avg List(31.06558458429346, 44.21631588364216, 56.46550322714496, 68.32180862321803, 79.18442963934172, 88.09263740918473, 94.40311659937, 97.84269038999449, 99.31382629830777, 99.83604402711376, 99.97210566722475, 99.9968817545475, 100.0001679180478)",,5,4,4,1.000738552437223,1.0031720856463124,5,0,254.82509772065552,42.03017645199996,0.06202957236670404
47,"Boxplot values: 4629, 5241, 5403, 5416, 5581, 6736",,5416.0,100,1261.0,"Ignite Drop times on avg List(31.414366233568412, 44.15021160571533, 56.41845688103796, 68.35758457396987, 79.17527598486608, 88.17811799660535, 94.39468010015905, 97.92032854173225, 99.39335040979304, 99.87388341423855, 99.97545583075065, 99.99784484762098, 99.99935106191212, 99.9994800696267)",,5,4,4,1.0,1.0,1,0,252.23416816916543,41.910660571999976,0.06202957236670404
48,"Boxplot values: 4533, 5142, 5313, 5325, 5496, 6486",,5325.0,100,1130.0,"Ignite Drop times on avg List(27.705899741640017, 40.52930656177222, 52.79820935963808, 65.07092451966741, 76.40229962664897, 85.8995269210298, 92.91612874842274, 97.14635127748669, 99.13556802512149, 99.81410516536818, 99.9757424441688, 99.9989288132255, 99.9997519965732)",,5,4,4,0.9831979320531756,0.8961141950832673,0,0,261.5934346334515,41.38264487279997,0.06202957236670404
49,"Boxplot values: 4558, 5257, 5414, 5416, 5570, 6321",,5416.0,100,1208.0,"Ignite Drop times on avg List(30.39914485941497, 42.28189662844677, 53.74514208001509, 65.27451255419012, 76.26985664699451, 85.98242092655339, 93.26537138686658, 97.50734149960802, 99.28806745427212, 99.84782720090556, 99.97788626614694, 99.99817686258962)",,5,4,4,1.0,0.95796986518636,4,0,235.04622284360198,40.23849341599994,0.06202957236670404
50,"Boxplot values: 4557, 5291, 5453, 5469, 5628, 6750",,5469.0,100,1361.0,"Ignite Drop times on avg List(33.76801996434254, 48.83559768030373, 62.611750373369325, 75.04727295668732, 85.0869066436286, 92.19425083277493, 96.48078271173132, 98.71558160583976, 99.6079994361711, 99.91227798555524, 99.98650124926752, 99.99873141179623)",,5,4,4,1.0097858197932053,1.0793021411578112,6,0,269.45881105697225,45.98673490399992,0.06202957236670404
51,"Boxplot values: 4588, 5235, 5398, 5410, 5570, 6722",,5410.0,100,1265.0,"Ignite Drop times on avg List(31.47870756198378, 44.165676001083796, 56.236391744097354, 68.27863190092785, 79.22902053568676, 88.1261231562088, 94.35272440764271, 97.90440249176801, 99.40184715716094, 99.87133581336244, 99.98074632325353, 99.99853324804526, 99.99967466467405, 100.00012347078821)",,5,4,4,0.9988921713441654,1.0031720856463124,2,0,253.45563210620068,42.040065760000026,0.06202957236670404
52,"Boxplot values: 4409, 5124, 5299, 5311, 5487, 6247",,5311.0,100,1134.0,"Ignite Drop times on avg List(28.71030602819998, 41.453718041803995, 53.69845895832784, 65.91275313466495, 77.20225038446218, 86.75651570340635, 93.5461125530013, 97.5135845504325, 99.23830932082808, 99.81499332825665, 99.97253127262346, 99.99730192770384, 99.99981474893256)",,5,4,4,0.9806129985228952,0.8992862807295797,3,0,260.90461628704776,41.13133365439988,0.06202957236670404
53,"Boxplot values: 4394, 5073, 5255, 5266, 5447, 6479",,5266.0,100,1177.0,"Ignite Drop times on avg List(28.592108525207976, 41.354474693357616, 53.683661068597786, 65.7177462823962, 76.87395471680126, 86.33053083077922, 93.28715763849517, 97.35412900334089, 99.17725756077262, 99.8211938179055, 99.96970498998387, 99.99363771367068, 99.99987113663)",,5,4,4,0.972304283604136,0.9333862014274386,8,0,274.413948517491,40.80912728639992,0.06202957236670404
54,"Boxplot values: 4332, 4825, 4953, 4957, 5088, 5635",,4957.0,120,986.0,"Ignite Drop times on avg List(24.555765292421924, 40.28679318464687, 52.0712476375334, 63.513150127261795, 75.02625017731513, 86.23380089714908, 96.73584423679324, 105.69176130606988, 112.39544574016088, 116.54445343839566, 118.70586535391598, 119.60708675269915, 119.91499633947369, 119.98538180273256, 119.99970708739424, 119.99976649955441)",,5,0,2,1.0048651935941617,0.986986986986987,0,2,193.68657921259688,41.809471440000145,0.08112681888540793
55,"Boxplot values: 4279, 4805, 4933, 4933, 5060, 5680",,4933.0,120,999.0,"Ignite Drop times on avg List(31.44997940206302, 44.58685328739863, 56.02093303556852, 67.54350689146595, 78.90632038626683, 89.89362257553658, 99.97012181050181, 108.45050612212145, 114.3104505531659, 117.67102265593304, 119.23718052900831, 119.78817113612904, 119.94739017619477, 119.99088058783487, 119.99844104455786, 120.00040253755394)",,5,0,2,1.0,1.0,1,2,189.61188624934312,39.866272600000045,0.08112681888540793
56,"Boxplot values: 4238, 4836, 4968, 4962, 5096, 5627",,4962.0,120,1136.0,"Ignite Drop times on avg List(35.05087550560603, 53.0524562641977, 68.54973672741565, 82.50847356555047, 94.60663211285176, 104.23955138718917, 111.14670323930518, 115.42810330833959, 117.9337643936631, 119.24276190194725, 119.74664075111087, 119.92841989055914, 119.98544072363735, 119.99634776423716, 119.99954224810647)",,5,0,2,1.0058787755929457,1.1371371371371368,7,2,191.74193796567315,48.61254486000019,0.08112681888540793
57,"Boxplot values: 4179, 4824, 4949, 4951, 5076, 5707",,4951.0,120,966.0,"Ignite Drop times on avg List(29.38983090670377, 43.274333994188254, 54.462879254883156, 65.69951614078344, 76.80353555521711, 87.76227917802414, 98.04818535170466, 106.9083573992084, 113.38105304152621, 117.28256122419799, 119.09602687410771, 119.77519128690253, 119.94847957066952, 119.99257250529868, 120.00033955321489, 120.0000737661954)",,5,0,2,1.0036488951956213,0.9669669669669668,4,2,187.95516543639476,39.36731238000005,0.08112681888540793
58,"Boxplot values: 4187, 4745, 4875, 4877, 5010, 5573",,4877.0,120,993.0,"Ignite Drop times on avg List(29.469177250432192, 43.876339801259405, 55.484201209738444, 66.99942135701562, 78.50547863673246, 89.48223740618114, 99.65419581032565, 107.93803119549774, 113.99190597410403, 117.55652696211673, 119.16171237255344, 119.76133163819655, 119.9547092102297, 119.99251083133514, 119.99845758998866, 119.99924193683017)",,5,0,2,0.9886478816136224,0.993993993993994,8,2,193.91194720487636,40.633622920000036,0.08112681888540793
59,"Boxplot values: 4326, 4873, 4997, 4999, 5127, 5644",,4999.0,120,1066.0,"Ignite Drop times on avg List(27.683844093483007, 42.13028034825652, 55.771891676680276, 69.08815148052639, 81.89665556470904, 93.3850937048535, 103.11623474078283, 110.59132813306249, 115.52534990068204, 118.21895578454325, 119.42391536664306, 119.85088669804598, 119.97118065942767, 119.99567852249643, 119.99926912707242)",,5,0,2,1.013379282383945,1.067067067067067,5,2,187.70998412000947,42.5641127999998,0.08112681888540793
60,"Boxplot values: 4255, 4805, 4933, 4934, 5061, 5652",,4934.0,120,1000.0,"Ignite Drop times on avg List(31.215043136466345, 44.2635238980012, 55.782746901521215, 67.41639327473402, 78.91803828394815, 89.93052993582056, 99.92390962100797, 108.2445114036377, 114.01916571451926, 117.4964880129447, 119.15698137407657, 119.77461760256803, 119.96123527267123, 119.99528524564302, 119.99979599194037)",,5,0,2,1.0002027163997569,1.001001001001001,3,2,190.70950360563987,39.90951030000007,0.08112681888540793
61,"Boxplot values: 4148, 4746, 4876, 4877, 5008, 5586",,4877.0,120,979.0,"Ignite Drop times on avg List(34.44216136823132, 46.446043715432175, 58.05350104055215, 69.5106180165223, 80.98275756350988, 91.80087900164845, 101.67022852123249, 109.66307895130045, 115.00757804101053, 118.04371673842876, 119.39736948224387, 119.86569621962943, 119.97494806829961, 119.9987877596522, 120.00061456415034)",,5,0,2,0.9886478816136224,0.97997997997998,2,2,190.19939873886383,39.07549580000014,0.08112681888540793
62,"Boxplot values: 4221, 4825, 4958, 4958, 5092, 5590",,4958.0,120,1066.0,"Ignite Drop times on avg List(32.25191504562904, 47.47153600137359, 60.773086869670614, 73.66369705638657, 85.95574231850644, 96.92344133389473, 105.83522097629272, 112.25650445204349, 116.34056231469633, 118.5154852610187, 119.52435635382571, 119.87447293464011, 119.9678887594136, 119.99167480519183, 120.00019095853064, 120.00036428163101)",,5,0,2,1.0050679099939186,1.067067067067067,6,2,193.03858320013703,44.14490938000014,0.08112681888540793
324,"Boxplot values: 4666, 5576, 5789, 5814, 6025, 7098",,5814.0,60,1377.0,"Ignite Drop times on avg List(30.276140416842914, 42.08616563544416, 51.47710173586303, 57.2827380969319, 59.449955701498084, 59.951666365452574, 59.99889569606931, 60.00027952393964)",,5,5,4,1.0003441156228492,1.0029133284777858,2,1,343.7968398826492,27.179743492000004,0.05380895484309287
325,"Boxplot values: 4729, 5580, 5792, 5812, 6016, 7144",,5812.0,60,1374.0,"Ignite Drop times on avg List(30.159346841676015, 42.08710928334998, 51.497516826472, 57.20727383640494, 59.43895300460742, 59.953529873667726, 59.999746955114624)",,5,5,4,1.0,1.0007283321194465,5,1,341.6925206691109,27.147029096000036,0.05380895484309287
326,"Boxplot values: 4797, 5630, 5837, 5887, 6103, 6971",,5887.0,60,1529.0,"Ignite Drop times on avg List(33.1048237415571, 46.643465869694225, 54.675786171861226, 58.402335967305895, 59.6672641021454, 59.95560785263383, 59.995994195872065, 59.99950381982639)",,5,5,4,1.0129043358568481,1.1136198106336492,7,1,378.2199052677607,30.829370703999988,0.05380895484309287
327,"Boxplot values: 4535, 5379, 5603, 5639, 5877, 7252",,5639.0,60,1138.0,"Ignite Drop times on avg List(27.115592415357654, 39.342748969849204, 49.62695249599952, 56.35393548249589, 59.146957232854525, 59.87853585602187, 59.99359746590889, 59.99935103285787, 60.00003282631419)",,5,5,4,0.9702339986235377,0.8288419519300801,0,1,359.2154970218105,26.6567296952,0.05380895484309287
328,"Boxplot values: 4724, 5616, 5830, 5867, 6078, 7059",,5867.0,60,1462.0,"Ignite Drop times on avg List(31.848220009428232, 44.592061895939274, 53.38821286521263, 58.019566836601754, 59.61133366366631, 59.961280889841795, 60.00108622946285, 59.99946786922979)",,5,5,4,1.0094631796283549,1.0648215586307357,6,1,361.20626888722643,29.19267291600004,0.05380895484309287
329,"Boxplot values: 4812, 5627, 5826, 5836, 6037, 7166",,5836.0,60,1342.0,"Ignite Drop times on avg List(29.51067700994039, 41.221112358113636, 51.14703449718607, 57.23363856286844, 59.52882704400951, 59.9613685773335, 60.00042310777942)",,5,5,4,1.0041293874741912,0.9774217042971596,4,1,312.23952069836037,26.48423808799992,0.05380895484309287
330,"Boxplot values: 4533, 5248, 5513, 5542, 5793, 7373",,5542.0,60,1218.0,"Ignite Drop times on avg List(28.04017396110432, 40.07447277504813, 50.320595400980444, 56.6985517991478, 59.3138247369247, 59.932001993659746, 59.99932437910971, 60.00007436126107)",,5,5,4,0.9535443909153476,0.8871085214857976,8,1,392.4090618783319,26.069607388000037,0.05380895484309287
331,"Boxplot values: 4602, 5320, 5525, 5572, 5783, 7212",,5572.0,60,1085.0,"Ignite Drop times on avg List(28.762191779416934, 41.07769621291186, 50.82848349695511, 56.798435831821195, 59.31764944785037, 59.91444882345181, 59.99733118584643, 59.99957748449889)",,5,5,4,0.9587061252580868,0.7902403495994174,3,1,351.52153902024827,26.652994051200064,0.05380895484309287
332,"Boxplot values: 4728, 5575, 5789, 5812, 6024, 7070",,5812.0,60,1373.0,"Ignite Drop times on avg List(30.160529703790683, 41.96309584937397, 51.44421423005141, 57.206604924454865, 59.45517972507032, 59.94405880043135, 60.00051953989592, 60.000468079021715)",,5,5,4,1.0,1.0,1,1,339.99393499927817,27.087651052000037,0.05380895484309287
333,"Boxplot values: 4572, 5172, 5322, 5326, 5471, 6561",,5326.0,120,1243.0,"Ignite Drop times on avg List(32.98014348003854, 46.007824950992166, 58.4589018589974, 70.87925253466071, 82.92394234063602, 94.11085702198102, 103.80663901439515, 111.05216756367571, 115.85799078814627, 118.42139924711522, 119.51258486754462, 119.88437362657946, 119.97721051773375, 119.99485161576783, 119.99904800666428, 120.00032672716439)",,5,3,3,1.0,1.0,1,2,225.39576627526782,49.77713817999987,0.061537151108691096
334,"Boxplot values: 4444, 5026, 5186, 5191, 5351, 6446",,5191.0,120,1161.0,"Ignite Drop times on avg List(29.33727361250434, 42.74991710041959, 55.15847943375849, 67.52907176394133, 79.63905663697128, 91.21025733144393, 101.46170619945555, 109.53771520463044, 114.95471993716814, 118.0008068863167, 119.3613624694456, 119.84434699876448, 119.97343203495329, 120.00002546844466, 119.99973600394907)",,5,3,3,0.9746526473901614,0.9340305711987128,8,2,238.35338864711642,48.491634549600136,0.061537151108691096
335,"Boxplot values: 4454, 5086, 5239, 5246, 5404, 6193",,5246.0,120,1127.0,"Ignite Drop times on avg List(28.66856532049944, 41.99749946932613, 54.39279918566422, 66.80600671944038, 79.03990041735854, 90.7190306731087, 101.0943706864432, 109.20612471890065, 114.69451528729033, 117.81490696686727, 119.28667553473333, 119.80619992346396, 119.9636321888278, 119.99666639480209, 119.99923825560717)",,5,3,3,0.9849793466015772,0.9066773934030572,0,2,232.7335633422355,48.981688113599866,0.061537151108691096
336,"Boxplot values: 4482, 5159, 5300, 5310, 5454, 6513",,5310.0,120,1241.0,"Ignite Drop times on avg List(32.58178240401934, 45.541260586437694, 57.96347251058746, 70.38341062826638, 82.49051733647278, 93.61103596523273, 103.31514608688002, 110.75966166034846, 115.73054242303229, 118.37146178242143, 119.51949462637855, 119.89412207522264, 119.98538958934445, 119.9966069765787, 119.99949748637131, 119.99987473320519)",,5,3,3,0.9969958693203156,0.998390989541432,2,2,221.56225727886462,49.68448988799984,0.061537151108691096
337,"Boxplot values: 4383, 5091, 5252, 5256, 5416, 6012",,5256.0,120,1156.0,"Ignite Drop times on avg List(29.493511274798628, 42.79140683658909, 55.30702643595503, 67.88187994516731, 79.97243319140783, 91.50923069285219, 101.69720267070014, 109.78392882884273, 115.19899545153184, 118.13538689783826, 119.41803961949809, 119.86892926714678, 119.97530838030048, 119.99649755440242)",,5,3,3,0.98685692827638,0.9300080450522928,3,2,233.93125274295738,48.96704085679986,0.061537151108691096
338,"Boxplot values: 4602, 5177, 5326, 5333, 5479, 6508",,5333.0,120,1250.0,"Ignite Drop times on avg List(31.817869545546912, 46.10400276708539, 58.96029272098104, 71.34663646276508, 83.35127799444456, 94.54162375069922, 104.03986896350905, 111.37467729204602, 115.97653909260896, 118.45628861768608, 119.50838986412661, 119.88515697117187, 119.98062898346784, 119.99984458122509, 120.00021966330141)",,5,3,3,1.001314307172362,1.005631536604988,5,2,227.53140815388642,50.06858379599998,0.061537151108691096
339,"Boxplot values: 4566, 5220, 5367, 5391, 5530, 6557",,5391.0,120,1433.0,"Ignite Drop times on avg List(39.3364462052886, 58.31380351891181, 74.26103323144295, 88.57405484818797, 100.05511547018556, 108.53042345846069, 114.06433267609, 117.30590790386599, 118.92903716774244, 119.62867953532547, 119.88087295865547, 119.96666034123571, 119.99556231118511, 119.99814021159324, 119.99936531037693)",,5,3,3,1.0122042808862186,1.1528559935639582,7,2,256.3754846785562,59.5315719679998,0.061537151108691096
340,"Boxplot values: 4581, 5183, 5317, 5321, 5460, 6282",,5321.0,120,1181.0,"Ignite Drop times on avg List(31.86720100484168, 44.000885293646284, 55.538008235129844, 67.13047953913606, 78.6349432841558, 89.982190878379, 100.24114544125283, 108.76989244822133, 114.65603546399353, 117.96036298533562, 119.39897499353616, 119.84450473410969, 119.97382826724412, 119.99568592292226, 119.99935522609698, 120.0003534108946)",,5,3,3,0.9990612091625986,0.9501206757843926,4,2,208.78057548552917,47.520197692000075,0.061537151108691096
341,"Boxplot values: 4589, 5212, 5361, 5372, 5518, 6587",,5372.0,120,1340.0,"Ignite Drop times on avg List(35.605077635079084, 50.990957376219534, 65.37065427111266, 79.0497112775886, 91.37924741062903, 101.7550822600325, 109.41464317990894, 114.66429137295773, 117.64045431587151, 119.0976974101993, 119.70653041620852, 119.90995602096308, 119.97692508248294, 119.99630087131469, 119.99984972404994)",,5,3,3,1.0086368757040929,1.078037007240547,6,2,237.16122952572846,54.57153253199978,0.061537151108691096
531,"Boxplot values: 4215, 4999, 5199, 5212, 5414, 6449",,5212.0,60,1138.0,"Ignite Drop times on avg List(29.64580662284349, 43.915996150940465, 53.03395633666686, 57.93944702664303, 59.62826984929452, 59.96184793170389, 59.999814323616796, 59.99989637441571)",,5,1,4,0.9600294713575244,0.9096722621902478,8,0,308.42838310294917,24.95145694799995,0.06202957236670404
532,"Boxplot values: 4394, 5098, 5316, 5327, 5548, 6536",,5327.0,60,1144.0,"Ignite Drop times on avg List(29.239957624115934, 43.25642357172441, 52.43294707604014, 57.58724792882191, 59.478272756212114, 59.93468535133171, 59.999079461889565, 59.999614212063605)",,5,1,4,0.9812120095781912,0.9144684252597922,3,0,322.959853192192,24.898713796,0.06202957236670404
